year,month,major_category,estat_job_count
2022,4,サービス,1005682
2022,4,事務,401064
2022,4,保安,74409
2022,4,分類不能,0
2022,4,専門・技術,952196
2022,4,建設・採掘,252922
2022,4,生産工程,475452
2022,4,管理,6578
2022,4,販売,411302
2022,4,輸送・機械運転,257436
2022,4,農林漁業,20555
2022,4,運搬・清掃・包装等,406980
2022,4,集計区分,271351
2022,5,サービス,1030569
2022,5,事務,389812
2022,5,保安,74243
2022,5,分類不能,0
2022,5,専門・技術,942689
2022,5,建設・採掘,249474
2022,5,生産工程,464036
2022,5,管理,6422
2022,5,販売,416654
2022,5,輸送・機械運転,256328
2022,5,農林漁業,19854
2022,5,運搬・清掃・包装等,403118
2022,5,集計区分,276597
2022,6,サービス,1042619
2022,6,事務,395864
2022,6,保安,76372
2022,6,分類不能,0
2022,6,専門・技術,964559
2022,6,建設・採掘,251774
2022,6,生産工程,469420
2022,6,管理,6822
2022,6,販売,422198
2022,6,輸送・機械運転,259640
2022,6,農林漁業,19250
2022,6,運搬・清掃・包装等,408638
2022,6,集計区分,282897
2022,7,サービス,1042422
2022,7,事務,392220
2022,7,保安,77172
2022,7,分類不能,0
2022,7,専門・技術,965940
2022,7,建設・採掘,247106
2022,7,生産工程,466466
2022,7,管理,6777
2022,7,販売,425510
2022,7,輸送・機械運転,260802
2022,7,農林漁業,18734
2022,7,運搬・清掃・包装等,404574
2022,7,集計区分,282954
2022,8,サービス,1055142
2022,8,事務,405558
2022,8,保安,78978
2022,8,分類不能,0
2022,8,専門・技術,976206
2022,8,建設・採掘,246498
2022,8,生産工程,471368
2022,8,管理,6912
2022,8,販売,436018
2022,8,輸送・機械運転,261842
2022,8,農林漁業,18809
2022,8,運搬・清掃・包装等,413314
2022,8,集計区分,284826
2022,9,サービス,1063447
2022,9,事務,416180
2022,9,保安,81124
2022,9,分類不能,0
2022,9,専門・技術,983193
2022,9,建設・採掘,245138
2022,9,生産工程,481348
2022,9,管理,6937
2022,9,販売,440308
2022,9,輸送・機械運転,264182
2022,9,農林漁業,19010
2022,9,運搬・清掃・包装等,424152
2022,9,集計区分,289079
2022,10,サービス,1092277
2022,10,事務,426360
2022,10,保安,82279
2022,10,分類不能,0
2022,10,専門・技術,999029
2022,10,建設・採掘,247126
2022,10,生産工程,485208
2022,10,管理,7195
2022,10,販売,445494
2022,10,輸送・機械運転,267690
2022,10,農林漁業,18827
2022,10,運搬・清掃・包装等,435628
2022,10,集計区分,292322
2022,11,サービス,1098997
2022,11,事務,428560
2022,11,保安,82114
2022,11,分類不能,0
2022,11,専門・技術,1010349
2022,11,建設・採掘,247410
2022,11,生産工程,481502
2022,11,管理,7325
2022,11,販売,443198
2022,11,輸送・機械運転,266718
2022,11,農林漁業,18257
2022,11,運搬・清掃・包装等,432952
2022,11,集計区分,291237
2022,12,サービス,1063790
2022,12,事務,424042
2022,12,保安,79004
2022,12,分類不能,0
2022,12,専門・技術,1006014
2022,12,建設・採掘,237256
2022,12,生産工程,461434
2022,12,管理,7422
2022,12,販売,431102
2022,12,輸送・機械運転,258398
2022,12,農林漁業,16964
2022,12,運搬・清掃・包装等,415864
2022,12,集計区分,283440
2023,1,サービス,1048574
2023,1,事務,463442
2023,1,保安,78122
2023,1,分類不能,0
2023,1,専門・技術,1020834
2023,1,建設・採掘,234492
2023,1,生産工程,453678
2023,1,管理,7401
2023,1,販売,426422
2023,1,輸送・機械運転,259036
2023,1,農林漁業,17295
2023,1,運搬・清掃・包装等,412878
2023,1,集計区分,276411
2023,2,サービス,1049437
2023,2,事務,511876
2023,2,保安,78819
2023,2,分類不能,0
2023,2,専門・技術,1050391
2023,2,建設・採掘,237360
2023,2,生産工程,455892
2023,2,管理,7382
2023,2,販売,427298
2023,2,輸送・機械運転,265046
2023,2,農林漁業,18657
2023,2,運搬・清掃・包装等,421062
2023,2,集計区分,273617
2023,3,サービス,1069298
2023,3,事務,502402
2023,3,保安,82118
2023,3,分類不能,0
2023,3,専門・技術,1037804
2023,3,建設・採掘,243608
2023,3,生産工程,459570
2023,3,管理,6990
2023,3,販売,435614
2023,3,輸送・機械運転,269084
2023,3,農林漁業,20038
2023,3,運搬・清掃・包装等,435364
2023,3,集計区分,276979
2023,4,サービス,1033603
2023,4,事務,443130
2023,4,保安,81596
2023,4,分類不能,0
2023,4,専門・技術,983305
2023,4,建設・採掘,240426
2023,4,生産工程,443416
2023,4,管理,6774
2023,4,販売,427348
2023,4,輸送・機械運転,264626
2023,4,農林漁業,18586
2023,4,運搬・清掃・包装等,417674
2023,4,集計区分,277164
2023,5,サービス,1045602
2023,5,事務,425482
2023,5,保安,81028
2023,5,分類不能,0
2023,5,専門・技術,965888
2023,5,建設・採掘,236508
2023,5,生産工程,431992
2023,5,管理,6422
2023,5,販売,427568
2023,5,輸送・機械運転,261684
2023,5,農林漁業,17785
2023,5,運搬・清掃・包装等,410184
2023,5,集計区分,281689
2023,6,サービス,1048420
2023,6,事務,419864
2023,6,保安,81946
2023,6,分類不能,0
2023,6,専門・技術,979520
2023,6,建設・採掘,239180
2023,6,生産工程,434306
2023,6,管理,6875
2023,6,販売,425530
2023,6,輸送・機械運転,263424
2023,6,農林漁業,17405
2023,6,運搬・清掃・包装等,408012
2023,6,集計区分,286374
2023,7,サービス,1040774
2023,7,事務,413596
2023,7,保安,82384
2023,7,分類不能,0
2023,7,専門・技術,977404
2023,7,建設・採掘,237710
2023,7,生産工程,430674
2023,7,管理,6886
2023,7,販売,425536
2023,7,輸送・機械運転,261748
2023,7,農林漁業,16942
2023,7,運搬・清掃・包装等,403552
2023,7,集計区分,285453
2023,8,サービス,1047891
2023,8,事務,417954
2023,8,保安,82474
2023,8,分類不能,0
2023,8,専門・技術,988045
2023,8,建設・採掘,234030
2023,8,生産工程,434646
2023,8,管理,6886
2023,8,販売,430350
2023,8,輸送・機械運転,263972
2023,8,農林漁業,17077
2023,8,運搬・清掃・包装等,406620
2023,8,集計区分,288714
2023,9,サービス,1052675
2023,9,事務,421160
2023,9,保安,82732
2023,9,分類不能,0
2023,9,専門・技術,983009
2023,9,建設・採掘,235058
2023,9,生産工程,442324
2023,9,管理,6989
2023,9,販売,431720
2023,9,輸送・機械運転,263704
2023,9,農林漁業,17048
2023,9,運搬・清掃・包装等,415276
2023,9,集計区分,290601
2023,10,サービス,1075660
2023,10,事務,427466
2023,10,保安,85397
2023,10,分類不能,0
2023,10,専門・技術,1006626
2023,10,建設・採掘,237874
2023,10,生産工程,445982
2023,10,管理,6994
2023,10,販売,440100
2023,10,輸送・機械運転,268644
2023,10,農林漁業,17055
2023,10,運搬・清掃・包装等,417116
2023,10,集計区分,297373
2023,11,サービス,1067209
2023,11,事務,420638
2023,11,保安,85814
2023,11,分類不能,0
2023,11,専門・技術,1004053
2023,11,建設・採掘,235172
2023,11,生産工程,434448
2023,11,管理,6898
2023,11,販売,433108
2023,11,輸送・機械運転,263622
2023,11,農林漁業,16892
2023,11,運搬・清掃・包装等,397886
2023,11,集計区分,294180
2023,12,サービス,1028662
2023,12,事務,420920
2023,12,保安,83654
2023,12,分類不能,0
2023,12,専門・技術,1000332
2023,12,建設・採掘,228154
2023,12,生産工程,419286
2023,12,管理,6638
2023,12,販売,420070
2023,12,輸送・機械運転,257440
2023,12,農林漁業,15814
2023,12,運搬・清掃・包装等,377142
2023,12,集計区分,287528
2024,1,サービス,995971
2024,1,事務,451278
2024,1,保安,80999
2024,1,分類不能,0
2024,1,専門・技術,1018695
2024,1,建設・採掘,225764
2024,1,生産工程,410944
2024,1,管理,6543
2024,1,販売,417294
2024,1,輸送・機械運転,257536
2024,1,農林漁業,16194
2024,1,運搬・清掃・包装等,373382
2024,1,集計区分,282268
2024,2,サービス,1009974
2024,2,事務,496578
2024,2,保安,81561
2024,2,分類不能,0
2024,2,専門・技術,1050502
2024,2,建設・採掘,231802
2024,2,生産工程,419076
2024,2,管理,6887
2024,2,販売,419274
2024,2,輸送・機械運転,262168
2024,2,農林漁業,17795
