year,month,major_category,estat_job_count,coverage_rate,estimated_national_job_count,coverage_source,notes
2022,4,サービス,1005682,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,4,事務,401064,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,4,保安,74409,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,4,分類不能,0,,,,
2022,4,専門・技術,952196,0.34,,default_heuristic,レビュー用の見直し後初期値
2022,4,建設・採掘,252922,0.55,,default_heuristic,レビュー用の見直し後初期値
2022,4,生産工程,475452,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,4,管理,6578,0.20,,default_heuristic,レビュー用の見直し後初期値
2022,4,販売,411302,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,4,輸送・機械運転,257436,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,4,農林漁業,20555,0.65,,default_heuristic,レビュー用の見直し後初期値
2022,4,運搬・清掃・包装等,406980,0.48,,default_heuristic,レビュー用の見直し後初期値
2022,4,集計区分,271351,,,,
2022,5,サービス,1030569,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,5,事務,389812,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,5,保安,74243,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,5,分類不能,0,,,,
2022,5,専門・技術,942689,0.34,,default_heuristic,レビュー用の見直し後初期値
2022,5,建設・採掘,249474,0.55,,default_heuristic,レビュー用の見直し後初期値
2022,5,生産工程,464036,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,5,管理,6422,0.20,,default_heuristic,レビュー用の見直し後初期値
2022,5,販売,416654,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,5,輸送・機械運転,256328,0.50,,default_heuristic,レビュー用の見直し後初期値
2022,5,農林漁業,19854,0.65,,default_heuristic,レビュー用の見直し後初期値
2022,5,運搬・清掃・包装等,403118,0.48,,default_heuristic,レビュー用の見直し後初期値
2022,5,集計区分,276597,,,,
2022,6,サービス,1042619,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,6,事務,395864,0.35,,default_heuristic,レビュー用の見直し後初期値
2022,6,保安,76372,0.45,,default_heuristic,レビュー用の見直し後初期値
2022,6,分類不能,0,,,,
2022,6,専門・技術,964559,0.34,,default_heuristic,レビュー用の見直し後初期値
