year,month,major_category,hellowork_active_job_count,estimated_national_active_job_count_base
2022,4,サービス,1005682,2218538
2022,4,事務,401064,1331960
2022,4,保安,74409,165353
2022,4,専門・技術,952196,2812959
2022,4,建設・採掘,252922,446903
2022,4,生産工程,475452,907681
2022,4,管理,6578,54817
2022,4,販売,411302,1480990
2022,4,輸送・機械運転,257436,483984
2022,4,農林漁業,20555,31623
2022,4,運搬・清掃・包装等,406980,819561
2022,5,サービス,1030569,2273105
2022,5,事務,389812,1294374
2022,5,保安,74243,164984
2022,5,専門・技術,942689,2786364
2022,5,建設・採掘,249474,440845
2022,5,生産工程,464036,885887
2022,5,管理,6422,53517
2022,5,販売,416654,1500614
2022,5,輸送・機械運転,256328,481864
2022,5,農林漁業,19854,30545
2022,5,運搬・清掃・包装等,403118,811723
2022,6,サービス,1042619,2299375
2022,6,事務,395864,1314300
2022,6,保安,76372,169716
2022,6,専門・技術,964559,2851839
2022,6,建設・採掘,251774,444934
2022,6,生産工程,469420,896165
2022,6,管理,6822,56850
2022,6,販売,422198,1520384
2022,6,輸送・機械運転,259640,488106
2022,6,農林漁業,19250,29615
2022,6,運搬・清掃・包装等,408638,822710
2022,7,サービス,1042422,2298820
2022,7,事務,392220,1302183
2022,7,保安,77172,171493
2022,7,専門・技術,965940,2855716
2022,7,建設・採掘,247106,436709
2022,7,生産工程,466466,890526
2022,7,管理,6777,56475
2022,7,販売,425510,1532531
2022,7,輸送・機械運転,260802,490309
2022,7,農林漁業,18734,28822
2022,7,運搬・清掃・包装等,404574,814482
2022,8,サービス,1055142,2327172
2022,8,事務,405558,1346646
2022,8,保安,78978,175507
2022,8,専門・技術,976206,2886933
2022,8,建設・採掘,246498,435605
2022,8,生産工程,471368,899884
2022,8,管理,6912,57600
2022,8,販売,436018,1571114
2022,8,輸送・機械運転,261842,492269
2022,8,農林漁業,18809,28937
2022,8,運搬・清掃・包装等,413314,832094
2022,9,サービス,1063447,2344363
2022,9,事務,416180,1381970
2022,9,保安,81124,180276
2022,9,専門・技術,983193,2902985
2022,9,建設・採掘,245138,433283
2022,9,生産工程,481348,918937
2022,9,管理,6937,57808
2022,9,販売,440308,1586378
2022,9,輸送・機械運転,264182,496634
2022,9,農林漁業,19010,29246
2022,9,運搬・清掃・包装等,424152,853902
2022,10,サービス,1092277,2409772
2022,10,事務,426360,1415707
2022,10,保安,82279,182842
2022,10,専門・技術,999029,2949722
2022,10,建設・採掘,247126,436799
2022,10,生産工程,485208,926306
2022,10,管理,7195,59958
2022,10,販売,445494,1605152
2022,10,輸送・機械運転,267690,503283
2022,10,農林漁業,18827,28965
2022,10,運搬・清掃・包装等,435628,877037
2022,11,サービス,1098997,2425802
2022,11,事務,428560,1423031
2022,11,保安,82114,182476
2022,11,専門・技術,1010349,2984115
2022,11,建設・採掘,247410,437237
2022,11,生産工程,481502,919231
2022,11,管理,7325,61042
2022,11,販売,443198,1596689
2022,11,輸送・機械運転,266718,501481
2022,11,農林漁業,18257,28088
2022,11,運搬・清掃・包装等,432952,871638
2022,12,サービス,1063790,2348078
2022,12,事務,424042,1408531
2022,12,保安,79004,175564
2022,12,専門・技術,1006014,2971365
2022,12,建設・採掘,237256,419290
2022,12,生産工程,461434,880919
2022,12,管理,7422,61850
2022,12,販売,431102,1552323
2022,12,輸送・機械運転,258398,485826
2022,12,農林漁業,16964,26098
2022,12,運搬・清掃・包装等,415864,837318
2023,1,サービス,1048574,2316498
2023,1,事務,463442,1540777
2023,1,保安,78122,173604
2023,1,専門・技術,1020834,3010500
2023,1,建設・採掘,234492,414367
2023,1,生産工程,453678,866113
2023,1,管理,7401,61675
2023,1,販売,426422,1535314
2023,1,輸送・機械運転,259036,486950
2023,1,農林漁業,17295,26608
2023,1,運搬・清掃・包装等,412878,831331
2023,2,サービス,1049437,2320443
2023,2,事務,511876,1703089
2023,2,保安,78819,175153
2023,2,専門・技術,1050391,3096429
2023,2,建設・採掘,237360,419401
2023,2,生産工程,455892,870339
2023,2,管理,7382,61517
2023,2,販売,427298,1537807
2023,2,輸送・機械運転,265046,498217
2023,2,農林漁業,18657,28703
2023,2,運搬・清掃・包装等,421062,847864
2023,3,サービス,1069298,2365480
2023,3,事務,502402,1670665
2023,3,保安,82118,182484
2023,3,専門・技術,1037804,3064405
2023,3,建設・採掘,243608,430414
2023,3,生産工程,459570,877361
2023,3,管理,6990,58250
2023,3,販売,435614,1568031
2023,3,輸送・機械運転,269084,505847
2023,3,農林漁業,20038,30828
2023,3,運搬・清掃・包装等,435364,876546
2023,4,サービス,1033603,2284010
2023,4,事務,443130,1471571
2023,4,保安,81596,181324
2023,4,専門・技術,983305,2911455
2023,4,建設・採掘,240426,424815
2023,4,生産工程,443416,846521
2023,4,管理,6774,56450
2023,4,販売,427348,1538226
2023,4,輸送・機械運転,264626,497424
2023,4,農林漁業,18586,28594
2023,4,運搬・清掃・包装等,417674,840919
2023,5,サービス,1045602,2309391
2023,5,事務,425482,1412597
2023,5,保安,81028,180062
2023,5,専門・技術,965888,2859424
2023,5,建設・採掘,236508,417887
2023,5,生産工程,431992,824712
2023,5,管理,6422,53517
2023,5,販売,427568,1539068
2023,5,輸送・機械運転,261684,491910
2023,5,農林漁業,17785,27362
