year,month,estimated_occupation_count,hellowork_active_job_count,estimated_national_active_job_count_low,estimated_national_active_job_count_base,estimated_national_active_job_count_high,low_multiplier,high_multiplier,scenario_method
2022,4,66,2183059,7528058,10754369,13980680,0.70,1.30,national_sum_with_base_estimate_band
2022,5,66,2176859,7506675,10723822,13940969,0.70,1.30,national_sum_with_base_estimate_band
2022,6,66,2209800,7625796,10893994,14162192,0.70,1.30,national_sum_with_base_estimate_band
2022,7,66,2205203,7614646,10878066,14141486,0.70,1.30,national_sum_with_base_estimate_band
2022,8,66,2237672,7737633,11053761,14369889,0.70,1.30,national_sum_with_base_estimate_band
2022,9,66,2266045,7830047,11185782,14541517,0.70,1.30,national_sum_with_base_estimate_band
2022,10,66,2307707,7976880,11395543,14814206,0.70,1.30,national_sum_with_base_estimate_band
2022,11,66,2312539,8001581,11430830,14860079,0.70,1.30,national_sum_with_base_estimate_band
2022,12,66,2252340,7817013,11167162,14517311,0.70,1.30,national_sum_with_base_estimate_band
2023,1,66,2262496,7884616,11263737,14642858,0.70,1.30,national_sum_with_base_estimate_band
2023,2,66,2314039,8091273,11558962,15026651,0.70,1.30,national_sum_with_base_estimate_band
2023,3,66,2335518,8141218,11630311,15119404,0.70,1.30,national_sum_with_base_estimate_band
2023,4,66,2233720,7756916,11081309,14405702,0.70,1.30,national_sum_with_base_estimate_band
2023,5,66,2207689,7659227,10941753,14224279,0.70,1.30,national_sum_with_base_estimate_band
2023,6,66,2215354,7682152,10974503,14266854,0.70,1.30,national_sum_with_base_estimate_band
2023,7,66,2201709,7636483,10909262,14182041,0.70,1.30,national_sum_with_base_estimate_band
2023,8,66,2218191,7700328,11000469,14300610,0.70,1.30,national_sum_with_base_estimate_band
2023,9,66,2229232,7730977,11044253,14357529,0.70,1.30,national_sum_with_base_estimate_band
2023,10,66,2269180,7871792,11245417,14619042,0.70,1.30,national_sum_with_base_estimate_band
2023,11,66,2237672,7767285,11096121,14424957,0.70,1.30,national_sum_with_base_estimate_band
2023,12,66,2182109,7593690,10848129,14102568,0.70,1.30,national_sum_with_base_estimate_band
2024,1,66,2179168,7618988,10884268,14149548,0.70,1.30,national_sum_with_base_estimate_band
2024,2,66,2242514,7863493,11233562,14603631,0.70,1.30,national_sum_with_base_estimate_band
2024,3,66,2239634,7832316,11189023,14545730,0.70,1.30,national_sum_with_base_estimate_band
2024,4,66,2172212,7568399,10811998,14055597,0.70,1.30,national_sum_with_base_estimate_band
2024,5,66,2156105,7511862,10731231,13950600,0.70,1.30,national_sum_with_base_estimate_band
2024,6,66,2131711,7424432,10606332,13788232,0.70,1.30,national_sum_with_base_estimate_band
2024,7,66,2158004,7514694,10735277,13955860,0.70,1.30,national_sum_with_base_estimate_band
2024,8,66,2135690,7436602,10623717,13810832,0.70,1.30,national_sum_with_base_estimate_band
2024,9,66,2159215,7509539,10727913,13946287,0.70,1.30,national_sum_with_base_estimate_band
2024,10,66,2222819,7726260,11037514,14348768,0.70,1.30,national_sum_with_base_estimate_band
2024,11,66,2203914,7662033,10945761,14229489,0.70,1.30,national_sum_with_base_estimate_band
2024,12,66,2160354,7527562,10753660,13979758,0.70,1.30,national_sum_with_base_estimate_band
2025,1,66,2154267,7532724,10761034,13989344,0.70,1.30,national_sum_with_base_estimate_band
2025,2,66,2176869,7617754,10882506,14147258,0.70,1.30,national_sum_with_base_estimate_band
2025,3,66,2185280,7621348,10887640,14153932,0.70,1.30,national_sum_with_base_estimate_band
2025,4,66,2140516,7437751,10625359,13812967,0.70,1.30,national_sum_with_base_estimate_band
2025,5,66,2110911,7325824,10465463,13605102,0.70,1.30,national_sum_with_base_estimate_band
2025,6,66,2091227,7249770,10356814,13463858,0.70,1.30,national_sum_with_base_estimate_band
2025,7,66,2101646,7280043,10400062,13520081,0.70,1.30,national_sum_with_base_estimate_band
2025,8,66,2060587,7131271,10187530,13243789,0.70,1.30,national_sum_with_base_estimate_band
2025,9,66,2087362,7221662,10316660,13411658,0.70,1.30,national_sum_with_base_estimate_band
2025,10,66,2112131,7302095,10431564,13561033,0.70,1.30,national_sum_with_base_estimate_band
2025,11,66,2057074,7113833,10162618,13211403,0.70,1.30,national_sum_with_base_estimate_band
2025,12,66,2036720,7063615,10090878,13118141,0.70,1.30,national_sum_with_base_estimate_band
2026,1,66,2044590,7114745,10163922,13213099,0.70,1.30,national_sum_with_base_estimate_band
2026,2,66,2072897,7215338,10307625,13399912,0.70,1.30,national_sum_with_base_estimate_band
