year,month,major_category,occupation_name,jobmedley_related,estat_job_count,major_category_coverage_rate,occupation_relative_factor,coverage_rate,estimated_national_job_count,factor_source,confidence,notes
2022,4,サービス,その他のサービス職業従事者,false,27428,0.450000,1.00,0.450000,60951,default_neutral,low,
2022,4,専門・技術,その他の保健医療従事者,false,20617,0.340000,1.00,0.340000,60638,default_neutral,low,
2022,4,専門・技術,その他の専門的職業,false,34121,0.340000,1.00,0.340000,100356,default_neutral,low,
2022,4,専門・技術,その他の技術者,false,3319,0.340000,1.00,0.340000,9762,default_neutral,low,
2022,4,輸送・機械運転,その他の輸送従事者,false,6617,0.500000,1.00,0.500000,13234,default_neutral,low,
2022,4,運搬・清掃・包装等,その他の運搬・清掃・包装等従事者,false,54471,0.480000,1.00,0.480000,113481,default_neutral,low,
2022,4,サービス,サービス職業従事者,false,516525,0.450000,0.95,0.427500,1208246,default_heuristic,low,
2022,4,事務,一般事務従事者,true,137259,0.350000,0.85,0.297500,461375,default_heuristic,low,
2022,4,事務,事務従事者,true,200532,0.350000,0.85,0.297500,674057,default_heuristic,low,
2022,4,事務,事務用機器操作員,false,3808,0.350000,1.00,0.350000,10880,default_neutral,low,
2022,4,サービス,介護サービス職業従事者,true,204574,0.450000,1.25,0.562500,363687,default_heuristic,low,
2022,4,集計区分,介護関係職種（注２）カ,false,271351,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,4,事務,会計事務従事者,true,18303,0.350000,0.90,0.315000,58105,default_heuristic,low,
2022,4,専門・技術,保健医療サービス職業従事者,false,27368,0.340000,1.00,0.340000,80494,default_neutral,low,
2022,4,専門・技術,保健師，助産師，看護師,true,100148,0.340000,1.25,0.425000,235642,default_heuristic,low,
2022,4,保安,保安職業従事者,false,74409,0.450000,1.00,0.450000,165353,default_neutral,low,
2022,4,分類不能,分類不能の職業,false,0,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,4,運搬・清掃・包装等,包装従事者,false,10477,0.480000,1.00,0.480000,21827,default_neutral,low,
2022,4,専門・技術,医師，歯科医師，獣医師，薬剤師,true,9905,0.340000,1.15,0.391000,25332,default_heuristic,low,
2022,4,専門・技術,医療技術者,true,39382,0.340000,1.10,0.374000,105299,default_heuristic,low,
2022,4,販売,商品販売従事者,false,123293,0.350000,0.75,0.262500,469688,default_heuristic,low,
2022,4,事務,営業・販売事務従事者,false,19711,0.350000,0.85,0.297500,66255,default_heuristic,low,
2022,4,販売,営業職業従事者,true,76628,0.350000,0.85,0.297500,257573,default_heuristic,low,
2022,4,建設・採掘,土木作業従事者,false,47745,0.550000,1.00,0.550000,86809,default_neutral,low,
2022,4,事務,外勤事務従事者,false,746,0.350000,1.00,0.350000,2131,default_neutral,low,
2022,4,輸送・機械運転,定置・建設機械運転従事者,false,19506,0.500000,1.00,0.500000,39012,default_neutral,low,
2022,4,サービス,家庭生活支援サービス職業従事者,true,2214,0.450000,1.00,0.450000,4920,default_neutral,low,
2022,4,専門・技術,専門的・技術的職業従事者,false,462414,0.340000,1.00,0.340000,1360041,default_neutral,low,
2022,4,サービス,居住施設・ビル等管理人,false,9352,0.450000,1.00,0.450000,20782,default_neutral,low,
2022,4,専門・技術,建築・土木・測量技術者,false,62805,0.340000,1.05,0.357000,175924,default_heuristic,low,
2022,4,建設・採掘,建設・採掘従事者,false,126461,0.550000,1.00,0.550000,229929,default_neutral,low,
2022,4,建設・採掘,建設従事者（建設躯体工事従事者を除く）,false,34118,0.550000,1.10,0.605000,56393,default_heuristic,low,
2022,4,建設・採掘,建設躯体工事従事者,false,24142,0.550000,1.10,0.605000,39904,default_heuristic,low,
2022,4,専門・技術,情報処理・通信技術者,false,46126,0.340000,0.55,0.187000,246663,default_heuristic,low,
2022,4,建設・採掘,採掘従事者,false,345,0.550000,1.00,0.550000,627,default_neutral,low,
2022,4,サービス,接客・給仕職業従事者,false,83935,0.450000,0.95,0.427500,196339,default_heuristic,low,
2022,4,生産工程,機械整備・修理従事者,false,35419,0.500000,1.00,0.500000,70838,default_neutral,low,
2022,4,生産工程,機械検査従事者,false,5029,0.500000,1.00,0.500000,10058,default_neutral,low,
2022,4,生産工程,機械組立従事者,false,28218,0.500000,1.00,0.500000,56436,default_neutral,low,
2022,4,生産工程,機械組立設備制御・監視従事者,false,2271,0.500000,1.00,0.500000,4542,default_neutral,low,
2022,4,運搬・清掃・包装等,清掃従事者,true,81915,0.480000,1.05,0.504000,162530,default_heuristic,low,
2022,4,サービス,生活衛生サービス職業従事者,false,37466,0.450000,0.95,0.427500,87640,default_heuristic,low,
2022,4,生産工程,生産工程従事者,false,237726,0.500000,1.10,0.550000,432229,default_heuristic,low,
2022,4,生産工程,生産設備制御・監視従事者（金属製品を除く）セ,false,5977,0.500000,1.00,0.500000,11954,default_neutral,low,
2022,4,生産工程,生産設備制御・監視従事者（金属製品）セ,false,3206,0.500000,1.00,0.500000,6412,default_neutral,low,
2022,4,生産工程,生産関連・生産類似作業従事者,false,15555,0.500000,1.00,0.500000,31110,default_neutral,low,
2022,4,事務,生産関連事務従事者,false,15525,0.350000,1.00,0.350000,44357,default_neutral,low,
2022,4,専門・技術,社会福祉専門職業従事者,true,113808,0.340000,1.20,0.408000,278941,default_heuristic,low,
2022,4,管理,管理的職業従事者,false,6578,0.200000,0.60,0.120000,54817,default_heuristic,low,
2022,4,専門・技術,美術家，デザイナー，写真家，映像撮影者,false,6053,0.340000,0.45,0.153000,39562,default_heuristic,low,
2022,4,総計,職業計,false,2183059,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,4,輸送・機械運転,自動車運転従事者,true,102457,0.500000,1.10,0.550000,186285,default_heuristic,low,
2022,4,輸送・機械運転,船舶・航空機運転従事者,false,86,0.500000,1.00,0.500000,172,default_neutral,low,
2022,4,生産工程,製品検査従事者（金属製品を除く）,false,7284,0.500000,1.00,0.500000,14568,default_neutral,low,
2022,4,生産工程,製品検査従事者（金属製品）,false,4360,0.500000,1.00,0.500000,8720,default_neutral,low,
2022,4,生産工程,製品製造・加工処理従事者（金属製品を除く）,false,80225,0.500000,1.00,0.500000,160450,default_neutral,low,
2022,4,生産工程,製品製造・加工処理従事者（金属製品）セ,false,50182,0.500000,1.00,0.500000,100364,default_neutral,low,
2022,4,専門・技術,製造技術者（開発を除く）,false,12493,0.340000,0.90,0.306000,40827,default_heuristic,low,
2022,4,専門・技術,製造技術者（開発）,false,13637,0.340000,0.75,0.255000,53478,default_heuristic,low,
2022,4,販売,販売従事者,false,205651,0.350000,0.80,0.280000,734468,default_heuristic,low,
2022,4,販売,販売類似職業従事者,false,5730,0.350000,0.85,0.297500,19261,default_heuristic,low,
2022,4,輸送・機械運転,輸送・機械運転従事者,false,128718,0.500000,1.05,0.525000,245177,default_heuristic,low,
2022,4,農林漁業,農林漁業従事者,false,20555,0.650000,1.00,0.650000,31623,default_neutral,low,
2022,4,運搬・清掃・包装等,運搬・清掃・包装等従事者,false,203490,0.480000,1.05,0.504000,403750,default_heuristic,low,
2022,4,運搬・清掃・包装等,運搬従事者,false,56627,0.480000,1.00,0.480000,117973,default_neutral,low,
2022,4,事務,運輸・郵便事務従事者,false,5180,0.350000,1.00,0.350000,14800,default_neutral,low,
2022,4,輸送・機械運転,鉄道運転従事者,false,52,0.500000,1.00,0.500000,104,default_neutral,low,
2022,4,建設・採掘,電気工事従事者,false,20111,0.550000,1.10,0.605000,33241,default_heuristic,low,
2022,4,サービス,飲食物調理従事者,true,124188,0.450000,1.00,0.450000,275973,default_neutral,low,
2022,5,サービス,その他のサービス職業従事者,false,28083,0.450000,1.00,0.450000,62407,default_neutral,low,
2022,5,専門・技術,その他の保健医療従事者,false,20869,0.340000,1.00,0.340000,61379,default_neutral,low,
2022,5,専門・技術,その他の専門的職業,false,30730,0.340000,1.00,0.340000,90382,default_neutral,low,
2022,5,専門・技術,その他の技術者,false,3381,0.340000,1.00,0.340000,9944,default_neutral,low,
2022,5,輸送・機械運転,その他の輸送従事者,false,6518,0.500000,1.00,0.500000,13036,default_neutral,low,
2022,5,運搬・清掃・包装等,その他の運搬・清掃・包装等従事者,false,53552,0.480000,1.00,0.480000,111567,default_neutral,low,
2022,5,サービス,サービス職業従事者,false,528954,0.450000,0.95,0.427500,1237319,default_heuristic,low,
2022,5,事務,一般事務従事者,true,132415,0.350000,0.85,0.297500,445092,default_heuristic,low,
2022,5,事務,事務従事者,true,194906,0.350000,0.85,0.297500,655146,default_heuristic,low,
2022,5,事務,事務用機器操作員,false,3586,0.350000,1.00,0.350000,10246,default_neutral,low,
2022,5,サービス,介護サービス職業従事者,true,210439,0.450000,1.25,0.562500,374114,default_heuristic,low,
2022,5,集計区分,介護関係職種（注２）カ,false,276597,,,,,not_estimated,n/a,総計・集計区分・分類不能は occupation 推計対象外
2022,5,事務,会計事務従事者,true,18332,0.350000,0.90,0.315000,58197,default_heuristic,low,
